body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,total_acc_x,total_acc_y,total_acc_z,true_label
0.01165315,-0.02939904,0.1068262,0.4374637,0.5313492,0.1365279,1.041216,-0.2697959,0.02377977,STANDING
0.01310909,-0.03972867,0.1524549,0.4682641,0.7210685,0.09762239,1.041803,-0.280025,0.07629271,STANDING
0.01126885,-0.05240586,0.2168462,0.4982574,0.5203284,0.08355578,1.039086,-0.2926631,0.1474754,STANDING
0.02783073,-0.05210623,0.2025812,0.4793957,0.3726252,0.02286101,1.054768,-0.2923837,0.1399061,STANDING
0.00231835,-0.04547036,0.1760102,0.3898935,0.4145414,-0.02593917,1.028376,-0.2858257,0.1199341,STANDING
-0.0189655,-0.03776361,0.1837697,0.306651,0.3333279,-0.02714204,1.006216,-0.2782526,0.1341948,STANDING
-0.06192023,-0.01804735,0.1765364,0.2949761,0.2788276,-0.03679261,0.9623905,-0.2587233,0.1333636,STANDING
-0.09424813,-0.008505302,0.17936,0.306118,0.2705812,-0.03247727,0.9291962,-0.2494186,0.142489,STANDING
-0.0795342,-0.02178389,0.1916008,0.2626599,0.07101754,0.006943194,0.9430467,-0.2629814,0.1609307,STANDING
-0.07008376,-0.02136525,0.1662466,0.2567748,0.00464013,0.04659001,0.9516348,-0.2628907,0.1416763,STANDING
-0.01915248,-0.01555204,0.1411204,0.2744127,0.1060448,0.0318426,1.001703,-0.257446,0.1225485,STANDING
-0.002266895,-0.02652854,0.1388184,0.2667737,0.08783897,0.01757197,1.017726,-0.2688286,0.1261423,STANDING
-0.03011147,-0.03805286,0.1461677,0.3088987,0.0712605,0.0241239,0.98902,-0.280794,0.1392838,STANDING
-0.01191026,-0.04917752,0.1604293,0.2979181,0.05665197,0.006829112,1.006362,-0.2923927,0.1592329,STANDING
-0.01554211,-0.04124856,0.1558678,0.2596236,0.03202387,0.01210848,1.001875,-0.284969,0.1602542,STANDING
-0.01666617,-0.01372865,0.1424972,0.2797575,0.05031529,0.02212676,0.9999006,-0.2579842,0.1523619,STANDING
-0.006630279,-0.009588213,0.1363109,0.2423333,0.03773796,0.006270947,1.009093,-0.2544064,0.1515498,STANDING
-0.02348093,-0.01643028,0.1224819,0.2168062,0.04325964,0.009271642,0.9914053,-0.261836,0.1429909,STANDING
-0.01762759,-0.01281185,0.114862,0.2278785,0.05221671,0.02871898,0.9964305,-0.2588272,0.1405367,STANDING
-0.02115017,-0.008534865,0.1164285,0.2113968,0.04056013,0.02864433,0.9920888,-0.2551794,0.1471643,STANDING
-0.03265907,-0.0058797,0.1127794,0.2230078,0.01912391,0.01517529,0.9797703,-0.2531704,0.1484713,STANDING
-0.02247841,-0.01539462,0.1070058,0.2266763,-0.01984821,0.01349415,0.9891511,-0.2633458,0.1475489,STANDING
-0.01019689,-0.02188342,0.09460532,0.2237378,0.01479215,0.01558212,1.000643,-0.2705073,0.1398946,STANDING
-0.003119691,-0.003203238,0.08558351,0.2256477,0.04843876,0.0217996,1.006941,-0.25251,0.1355136,STANDING
-0.01649582,0.01065354,0.09439536,0.2181236,-0.003734959,0.01438722,0.9927965,-0.2393442,0.1488608,STANDING
-0.02044188,-0.007521113,0.09782159,0.2338933,-0.05846295,-0.01185926,0.9880946,-0.2582156,0.1567169,STANDING
